field_id,weather_station
11597,4
6413,1
5152,4
4730,1
3663,1
4961,0
12121,2
6445,2
5592,0
11610,4
8385,3
1073,1
7864,4
8008,3
1251,1
5698,4
11201,4
6141,0
11329,4
5231,4
3763,3
704,0
12187,0
12711,1
3328,2
6281,4
11738,4
604,0
5205,0
13947,3
13184,3
8809,2
5525,3
5282,2
8747,0
12302,4
3000,3
4119,2
11795,3
6515,0
4179,1
1084,1
6855,1
4569,1
12785,4
5371,2
8066,4
2717,0
8687,3
1158,4
9982,2
5721,4
3021,4
11098,2
7542,3
10234,1
11406,0
14144,4
9310,1
6562,4
10678,0
9464,4
12343,0
3358,2
9927,0
4117,3
6536,2
2771,1
4468,1
5342,1
9161,1
13074,1
13817,4
4635,2
9075,3
6303,0
9127,2
12110,0
9880,3
10660,4
12353,4
9455,3
11331,1
9125,3
222,3
13960,4
12281,4
11042,4
8632,1
11653,3
2555,1
10903,1
3532,4
401,0
1812,4
5366,1
5623,3
403,1
5603,0
5633,2
10142,4
11372,2
11793,4
3610,1
7058,1
2068,4
12408,2
6104,4
10765,0
1142,4
9305,4
9358,2
3340,3
8826,0
10407,1
340,1
8101,3
2156,2
3457,2
14154,0
3602,2
2986,0
3076,0
3490,0
11272,1
12833,0
11973,1
11079,1
11740,2
14323,1
4249,0
5852,4
1565,2
7324,0
787,4
2977,2
331,0
5233,0
1910,2
12435,3
9456,1
5929,2
8315,2
11640,3
1075,3
6184,1
1140,3
13118,1
5118,3
4529,3
50,4
5520,0
10793,3
5385,1
1492,2
6570,0
2766,3
13156,3
8658,1
2963,3
14382,1
7167,0
2220,1
10,1
10744,4
12377,3
10444,1
8445,2
6982,4
14042,0
8205,1
2769,3
4977,2
8130,4
4307,0
5426,0
13301,0
14291,0
6544,4
1434,1
2786,4
5679,4
8973,1
11978,3
7441,2
1497,2
3694,0
7687,3
10596,4
1265,1
5406,1
2838,2
7894,2
11077,2
2672,4
13218,4
14149,1
6611,4
6200,3
4032,0
1885,3
407,0
4859,4
1632,0
10648,0
8201,0
14328,0
14241,3
4155,3
8065,4
10662,2
3689,1
1036,1
12143,4
3720,0
4110,4
3410,0
395,3
9267,2
9974,0
10240,4
6152,3
4573,1
1254,3
12997,2
13865,2
10230,1
3686,0
12145,4
8396,0
3933,3
8619,4
3206,4
7816,1
6165,3
8760,2
7693,0
10741,2
12913,3
10095,3
11686,4
7523,3
1185,3
2222,3
10968,4
4157,2
9357,3
11889,4
13820,0
11909,0
13987,1
4759,0
5955,2
6666,3
4864,4
3776,0
444,3
13563,0
4536,0
4868,4
4608,2
11882,3
1596,0
13215,3
6,0
6942,3
7287,2
2467,0
5544,4
282,1
9238,4
9154,3
10569,3
11398,0
9954,1
7730,4
12672,0
1268,1
803,2
6534,0
1746,3
9534,2
5308,2
14208,1
8116,3
13457,1
12644,2
6944,3
13113,2
10497,2
12016,2
2643,4
12406,1
12131,3
8901,2
4352,2
14352,2
5243,2
9137,3
193,2
6160,4
6793,1
7461,1
2072,0
4646,2
8200,2
581,2
10354,1
2346,4
1801,0
5246,0
2697,2
4361,1
9411,1
10228,4
1525,4
6765,0
3922,4
6954,0
9516,3
12832,4
6886,0
8675,0
13617,1
682,0
12134,4
8629,2
7588,1
2360,3
955,2
7989,0
664,2
3642,1
8176,1
9987,1
13379,1
11449,4
14427,2
1021,0
2079,1
4084,4
13575,0
9441,4
1760,0
2125,3
5209,2
11379,0
3673,2
10025,3
4539,4
8701,2
2085,1
3066,1
9485,1
9046,2
10904,4
3759,4
359,4
6050,1
13352,3
6342,2
6035,3
750,2
11820,4
11922,0
2847,4
7165,0
4245,3
7453,0
2631,4
10542,2
7085,3
2354,0
13972,2
12683,1
1325,1
3016,0
3568,2
2779,4
256,0
12951,3
3674,0
5468,0
4135,2
9122,0
13682,0
12921,0
14330,3
5070,3
11859,3
4936,4
10252,4
11931,2
10879,1
5795,3
4604,3
10919,2
5741,3
1852,1
3744,4
2371,0
14370,4
133,3
519,4
8958,1
1799,0
11621,0
520,2
10332,3
12083,4
3713,2
10148,3
3884,2
12047,1
11185,0
13761,0
12232,1
10402,1
8891,3
12818,3
8465,0
4306,4
11081,2
5560,3
3005,4
12246,2
13090,3
9253,4
13809,0
14392,2
9415,3
14236,4
7431,4
11350,4
4905,2
12931,0
2973,1
10057,0
22,1
9804,2
9321,1
11222,0
1750,3
499,4
5341,2
4738,4
14329,1
2988,1
2092,2
13221,2
1074,2
10814,4
12772,1
3378,4
2503,4
9117,1
11386,3
6816,4
2164,0
8332,2
5129,3
958,3
11764,3
2869,0
10517,1
4711,4
13644,2
1409,3
5613,0
12817,2
660,0
14141,3
6503,2
12476,0
3635,4
5102,2
11695,2
123,4
3675,2
10278,4
9349,3
7968,0
10805,1
7459,1
8833,3
9034,2
919,0
11411,4
3293,0
9673,0
5991,2
2892,1
11103,3
229,1
47,1
1657,4
13649,2
7049,1
11911,3
4883,0
10249,3
13783,2
6208,4
6519,3
5643,2
5311,4
259,3
11886,2
1159,4
7692,4
13323,2
11486,4
11036,2
14284,2
11061,0
8734,2
2791,4
11943,2
5272,1
9405,0
12642,4
10692,0
13272,3
14119,1
57,3
4586,0
11684,1
8680,1
7677,2
6049,4
3985,4
14167,4
1962,3
125,3
3766,4
1388,2
8505,2
7893,0
10374,0
10103,4
9878,2
7938,3
6962,3
4975,1
3545,2
45,2
1668,3
11249,1
4274,3
183,2
13132,3
13506,3
7719,2
7995,1
14415,0
6293,4
5392,0
4358,3
13529,0
2468,0
4063,0
3386,3
4101,4
8737,4
