field_id,region,season,crop_type,soil_type,field_size_acres,planting_date,temperature_celsius,rainfall_mm,yield_per_acre,ph_level,irrigation_type,fertilizer_used,pest_control
F000,West,Fall,Corn,Sandy Loam,105.75313919207571,,,306.0018995731754,72.66177658868352,7.298133340810301,Sprinkler,135.7kg/ha,0.8L/ha
,Northeast,Winter,Corn,Clay Loam,69.37347911535042,2023-12-24,10.786679156742744,855.2995953400151,,7.271081573764491,Drip,159.7kg/ha,1.8L/ha
F002,Midwest,Winter,,Silt Loam,89.53557119207909,2023-02-03,,1230.015369888371,103.62824503920655,7.499056340464,Drip,274.8kg/ha,2.3L/ha
F003,South,Winter,Soybeans,Clay,,2023-01-20,18.037213209209796,972.8682404718304,30.835987687910027,7.6839980957070795,Sprinkler,168.6kg/ha,1.8L/ha
F004,West,Spring,Wheat,Sandy Loam,101.4115598358934,2023-03-18,,443.9587173761772,159.49301189431432,6.249918536310734,Sprinkler,139.5kg/ha,1.6L/ha
,,Fall,Corn,Sandy Loam,,2023-10-21,22.01642360808503,1032.5852609076924,96.53469140030505,7.0213583959287735,Sprinkler,108.2kg/ha,0.5L/ha
,West,Spring,Wheat,Loamy Sand,150.65502346319698,2023-04-25,31.11017393109773,,161.99522521027768,7.114107149352334,Sprinkler,125.0kg/ha,2.5L/ha
F007,South,,Corn,Sandy Loam,42.13747634928197,2023-06-08,31.52253044559419,813.4023405267059,24.90885268563113,6.43056282628901,Sprinkler,146.6kg/ha,1.6L/ha
F008,South,Summer,Corn,Clay,89.68225667713816,2023-06-12,25.853865826086437,891.1095798482439,16.270056786956246,6.357081608027036,Sprinkler,170.3kg/ha,2.4L/ha
F009,Midwest,Spring,Corn,Silt Loam,89.32066845826655,2023-05-01,27.965397760687473,,385.24677316183227,6.790391570550051,Sprinkler,188.1kg/ha,1.7L/ha
F010,Midwest,Winter,Corn,Silt Loam,128.79581562581257,2023-02-22,12.389892732199737,1136.529481164473,126.15257605502741,6.710183765902291,Sprinkler,201.4kg/ha,0.8L/ha
